itemName,"Wind Speed","SID","Reference","Wind Angle"
"1441756363.46","0.3","32","Apparent","241.1"
"1441756365.7","0.25","33","True (ground referenced to North)","297.5"
"1441756367.27","0.2","34","Apparent","227.4"
"1441756368.94","0.2","35","True (ground referenced to North)","292.0"
"1441756371.36","0.2","36","Apparent","227.2"
"1441756372.87","0.15","37","True (ground referenced to North)","299.2"
"1441756375.69","0.15","38","Apparent","219.3"
"1441756377.23","0.2","39","True (ground referenced to North)","285.7"
"1441756380.35","0.15","40","Apparent","230.6"
"1441756381.76","0.15","41","True (ground referenced to North)","246.1"
"1441756382.95","0.15","42","Apparent","149.7"
"1441756384.41","0.2","43","True (ground referenced to North)","201.8"
"1441756386.53","0.2","44","Apparent","150.7"
"1441756388.25","0.1","45","True (ground referenced to North)","250.5"
"1441756389.78","0.0","46","Apparent","1.9"
"1441756391.22","0.1","47","True (ground referenced to North)","257.9"
"1441756392.89","0.1","48","Apparent","180.5"
"1441756394.06","0.15","49","True (ground referenced to North)","217.2"
"1441756395.95","0.15","50","Apparent","121.4"
"1441756397.14","0.1","51","True (ground referenced to North)","184.2"
"1441756400.16","0.1","52","Apparent","90.7"
"1441756401.2","0.25","53","True (ground referenced to North)","128.9"
"1441756402.76","0.2","54","Apparent","69.6"
"1441756403.99","0.15","55","True (ground referenced to North)","132.8"
